id,Phase ID,Plant phase,Phase operating status,project,project_other,parent,owner,ownership,province,country,region,status,steel_capacity,iron_capacity,process,equipment,url,lat,lng
P100000120269,S100000131827,Closure,retired,Licheng Taihang Iron & Steel Co Ltd,黎城太行钢铁有限公司,Licheng Taihang Iron & Steel Co Ltd [100%],"Licheng Taihang Iron & Steel Co., Ltd.",N/A,Shanxi,China,Asia Pacific,retired,N/A,560.0,ironmaking_BF,BF,https://www.gem.wiki/Licheng_Taihang_Iron_&_Steel_Co_Ltd,36.472303,113.344155
P100000120272,S100000130387,Expansion,announced,Xiangfen County Xinjinshan Special Steel Co Ltd,襄汾县新金山特钢有限公司,Fujian Huaya Group Co Ltd [64.1%]; persons [32.8%]; other [3.2%],"Xiangfen County Xinjinshan Special Steel Co., Ltd.",N/A,Shanxi,China,Asia Pacific,announced,N/A,1220.0,ironmaking_BF,BF,https://www.gem.wiki/Xiangfen_County_Xinjinshan_Special_Steel_Co_Ltd,35.934831,111.49707
P100000120283,S100000131773,Closure,retired,Tianjin Rockcheck Steel Group Co Ltd,天津荣程联合钢铁集团有限公司,Tianjin Rongcheng Xiangtai Investment Holdings Co Ltd [77.8%]; persons [17.9%]; other [4.2%],"Tianjin Rockcheck Steel Group Co., Ltd.",N/A,Tianjin,China,Asia Pacific,retired,N/A,2490.0,ironmaking_BF,BF,https://www.gem.wiki/Tianjin_Rockcheck_Steel_Group_Co_Ltd,38.970638,117.495794
P100000120284,S100000130405,Closure,retired,Tianjin New Tiangang United Special Steel Co Ltd,天津市新天钢联合特钢有限公司,British Asia Pan Ruogen International Co Ltd [59.2%]; other shareholders [40.8%],"Tianjin New Tiangang United Special Steel Co., Ltd.",unknown,Tianjin,China,Asia Pacific,retired,N/A,2360.0,ironmaking_BF,BF,https://www.gem.wiki/Tianjin_New_Tiangang_United_Special_Steel_Co_Ltd,39.300258,117.800231
P100000120284,S100000130406,Expansion,operating,Tianjin New Tiangang United Special Steel Co Ltd,天津市新天钢联合特钢有限公司,British Asia Pan Ruogen International Co Ltd [59.2%]; other shareholders [40.8%],"Tianjin New Tiangang United Special Steel Co., Ltd.",unknown,Tianjin,China,Asia Pacific,operating,N/A,1150.0,ironmaking_BF,BF,https://www.gem.wiki/Tianjin_New_Tiangang_United_Special_Steel_Co_Ltd,39.300258,117.800231
P100000120289,S100000131828,Closure,retired,Baosteel Group Xinjiang Bayi Iron & Steel Co Ltd,宝钢集团新疆八—钢铁有限公司,unknown,"Baosteel Group Xinjiang Bayi Iron & Steel Co., Ltd.",unknown,Xinjiang,China,Asia Pacific,retired,N/A,400.0,ironmaking_BF,BF,https://www.gem.wiki/Baosteel_Group_Xinjiang_Bayi_Iron_&_Steel_Co_Ltd,43.852147,87.304639
P100000120292,S100000130414,Main plant,operating,Xinjiang Kunyu Iron and Steel Co Ltd,新疆昆玉钢铁有限公司,Shiheng Special Steel Holding Group Co Ltd [54.7%]; Hong Kong Wing Tai Holdings [22.0%]; other [15.9%]; Trade Union Committee of Shiheng Special Steel Group [7.4%],"Xinjiang Kunyu Iron and Steel Co., Ltd.",N/A,Xinjiang,China,Asia Pacific,operating,N/A,1000.0,ironmaking_BF,BF,https://www.gem.wiki/Xinjiang_Kunyu_Iron_and_Steel_Co_Ltd,44.404189,84.966753
P100000120297,S100000131832,Closure,retired,WISCO Group Kunming Steel Co Ltd Honghe Iron and Steel Company,红河钢铁有限公司,China Baowu Steel Group Co Ltd [48.4%]; Kunming Iron & Steel Holding Co Ltd [40.3%]; other [5.3%]; Yunnan Construction and Investment Holding Group Co Ltd [1.5%]; Yunnan Shengyi Investment Co Ltd [1.2%]; Yunnan Investment Holding Group Co Ltd [0.8%]; Yunnan Highway DEVELOPMENT&INVESTMENT Co Ltd [0.7%]; Yunnan Urban Construction Investment Group Co Ltd [0.6%]; Yuntianhua Group Co Ltd [0.5%]; Yunnan Tin Group (Holding) Co Ltd [0.4%]; China Development Bank Corp [0.1%]; Aluminum Corporation of China [0.0%]; Yunnan Nengtou Equity Investment Fund Partnership LP [0.0%],"Honghe Iron and Steel Co., Ltd.",unknown,Yunnan,China,Asia Pacific,retired,N/A,2080.0,ironmaking_BF,BF,https://www.gem.wiki/WISCO_Group_Kunming_Steel_Co_Ltd_Honghe_Iron_and_Steel_Company,23.470733,103.272784
P100000120297,S100000130420,Main plant,operating,WISCO Group Kunming Steel Co Ltd Honghe Iron and Steel Company,红河钢铁有限公司,China Baowu Steel Group Co Ltd [48.4%]; Kunming Iron & Steel Holding Co Ltd [40.3%]; other [5.3%]; Yunnan Construction and Investment Holding Group Co Ltd [1.5%]; Yunnan Shengyi Investment Co Ltd [1.2%]; Yunnan Investment Holding Group Co Ltd [0.8%]; Yunnan Highway DEVELOPMENT&INVESTMENT Co Ltd [0.7%]; Yunnan Urban Construction Investment Group Co Ltd [0.6%]; Yuntianhua Group Co Ltd [0.5%]; Yunnan Tin Group (Holding) Co Ltd [0.4%]; China Development Bank Corp [0.1%]; Aluminum Corporation of China [0.0%]; Yunnan Nengtou Equity Investment Fund Partnership LP [0.0%],"Honghe Iron and Steel Co., Ltd.",unknown,Yunnan,China,Asia Pacific,operating,N/A,960.0,ironmaking_BF,BF,https://www.gem.wiki/WISCO_Group_Kunming_Steel_Co_Ltd_Honghe_Iron_and_Steel_Company,23.470733,103.272784
P100000120302,S100000131834,Closure,retired,Yunnan Qujing Iron and Steel Group Chenggang Iron and Steel Co Ltd,云南曲靖钢铁集团呈钢钢铁有限公司,Yunan Qujing Shuangyou Steel Co Ltd [25.0%]; Yunnan Qujing Chenggang Iron and Steel (Group) Co Ltd [25.0%]; Fujian XINPENG Investment Co Ltd [16.6%]; Xuanwei Laibin Fenghuang Steel Co Ltd [16.0%]; Qujing Julida Steel Co Ltd [8.0%]; Qujing Wuyue New Energy Technology Co Ltd [5.5%]; Yunnan Tongyanbao Trading Co Ltd [1.7%]; other [1.0%]; Yunnan Qujing Yaochang Trade Co Ltd [0.9%]; Qujing Botong Trading Co Ltd [0.4%],"Yunnan Qujing Iron and Steel Group Chenggang Iron and Steel Co., Ltd.",N/A,Yunnan,China,Asia Pacific,retired,N/A,2140.0,ironmaking_BF,BF,https://www.gem.wiki/Yunnan_Qujing_Iron_and_Steel_Group_Chenggang_Iron_and_Steel_Co_Ltd,25.45543,103.547242
